round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc
8,3,identity,0.0,0.0,0.0,0.0,0.0,1.8299182556802407e-05,11181642,18.761852264404297,18.761852264404297,1.0,14.075376764879433,1.2274907096148857,0.6053703134603565,0.5290586338023859,0.9009030307707576,1.0165411233901978,0.6854822039604187,0.6379222273826599,0.9374871253967285,1.1391886472702026,0.6299170255661011,0.5625517964363098,0.9128110408782959
8,4,identity,0.0,0.0,0.0,0.0,0.0,1.807740773074329e-05,11181642,18.753050804138184,18.753050804138184,1.0,14.068773799053842,1.2274907096148857,0.6053703134603565,0.5290586338023859,0.9009030307707576,1.0037139654159546,0.6857552528381348,0.6350853443145752,0.9384657740592957,1.134891390800476,0.6309926509857178,0.5628471374511719,0.9128967523574829
9,0,identity,0.0,0.0,0.0,0.0,0.0,1.706480725260917e-05,11181642,18.704526901245117,18.704526901245117,1.0,14.03237055881417,1.1398901625982296,0.6363706207744315,0.569406393502956,0.913878932078975,0.9504873752593994,0.7012012004852295,0.6604451537132263,0.9434553980827332,1.0775798559188843,0.6508527994155884,0.591176450252533,0.9211161732673645
9,1,identity,0.0,0.0,0.0,0.0,0.0,1.706961847958155e-05,11181642,18.705551147460938,18.705551147460938,1.0,14.033138961165095,1.1398901625982296,0.6363706207744315,0.569406393502956,0.913878932078975,0.9327017068862915,0.7061834335327148,0.6664586663246155,0.9470952153205872,1.07914400100708,0.6506223082542419,0.5917240381240845,0.9216296672821045
9,2,identity,0.0,0.0,0.0,0.0,0.0,1.700908069324214e-05,11181642,18.702866554260254,18.702866554260254,1.0,14.031124945692234,1.1398901625982296,0.6363706207744315,0.569406393502956,0.913878932078975,0.9536373019218445,0.7021363973617554,0.657954752445221,0.9440404772758484,1.0879484415054321,0.6493546366691589,0.5878962278366089,0.9199151992797852
9,3,identity,0.0,0.0,0.0,0.0,0.0,1.7280532119912095e-05,11181642,18.7164249420166,18.7164249420166,1.0,14.04129661815322,1.1398901625982296,0.6363706207744315,0.569406393502956,0.913878932078975,0.9396448731422424,0.7064363956451416,0.665506899356842,0.9457414746284485,1.0685839653015137,0.6517747640609741,0.5904178619384766,0.9226605296134949
9,4,identity,0.0,0.0,0.0,0.0,0.0,1.7029116861522198e-05,11181642,18.70525074005127,18.70525074005127,1.0,14.032913591760494,1.1398901625982296,0.6363706207744315,0.569406393502956,0.913878932078975,0.9336408972740173,0.7073919773101807,0.6619983911514282,0.9461696147918701,1.0728553533554077,0.6529271602630615,0.5912754535675049,0.922057032585144
10,0,identity,0.0,0.0,0.0,0.0,0.0,1.6201664038817398e-05,11181642,18.6614408493042,18.6614408493042,1.0,14.000046862526988,1.0686092073831663,0.6594960049170252,0.5995780654437036,0.9237578639999777,0.8917834162712097,0.7224951982498169,0.6850935220718384,0.9495659470558167,1.0210020542144775,0.6690227389335632,0.6143284440040588,0.9288061261177063
10,1,identity,0.0,0.0,0.0,0.0,0.0,1.6191874237847514e-05,11181642,18.662155151367188,18.662155151367188,1.0,14.000582740889039,1.0686092073831663,0.6594960049170252,0.5995780654437036,0.9237578639999777,0.8765790462493896,0.7230412364006042,0.6883351802825928,0.9524866938591003,1.027341604232788,0.6673709154129028,0.6129071116447449,0.9281456470489502
10,2,identity,0.0,0.0,0.0,0.0,0.0,1.617040288692806e-05,11181642,18.66189479827881,18.66189479827881,1.0,14.000387420738384,1.0686092073831663,0.6594960049170252,0.5995780654437036,0.9237578639999777,0.8727240562438965,0.7235683798789978,0.6826832294464111,0.9527519941329956,1.0135606527328491,0.6720574498176575,0.6151123642921448,0.9301363825798035
10,3,identity,0.0,0.0,0.0,0.0,0.0,1.6389338270528242e-05,11181642,18.673264503479004,18.673264503479004,1.0,14.008917116108707,1.0686092073831663,0.6594960049170252,0.5995780654437036,0.9237578639999777,0.8773985505104065,0.7295064926147461,0.695549726486206,0.9521471858024597,1.0197662115097046,0.6716349124908447,0.6168009042739868,0.9296063780784607
10,4,identity,0.0,0.0,0.0,0.0,0.0,1.6168834918062203e-05,11181642,18.66337776184082,18.66337776184082,1.0,14.001499958592843,1.0686092073831663,0.6594960049170252,0.5995780654437036,0.9237578639999777,0.8727965950965881,0.7254112362861633,0.686626672744751,0.952605664730072,1.0124458074569702,0.6732867360115051,0.6183257699012756,0.9303941130638123
11,0,identity,0.0,0.0,0.0,0.0,0.0,1.548016007291153e-05,11181642,18.62675666809082,18.62675666809082,1.0,13.974026354984357,1.0083260886329921,0.6801628764597418,0.6257824421598958,0.9316063354312124,0.8191536664962769,0.7458367347717285,0.7140781879425049,0.9576435089111328,0.9643124341964722,0.6881146430969238,0.6371594071388245,0.9367029070854187
11,1,identity,0.0,0.0,0.0,0.0,0.0,1.5515097402385436e-05,11181642,18.63047504425049,18.63047504425049,1.0,13.976815927392417,1.0083260886329921,0.6801628764597418,0.6257824421598958,0.9316063354312124,0.8402736783027649,0.7340294718742371,0.7043548822402954,0.9553759098052979,0.9912861585617065,0.6776659488677979,0.6271520853042603,0.933401882648468
11,2,identity,0.0,0.0,0.0,0.0,0.0,1.547696956549771e-05,11181642,18.625733375549316,18.625733375549316,1.0,13.97325866809186,1.0083260886329921,0.6801628764597418,0.6257824421598958,0.9316063354312124,0.8157520294189453,0.742747962474823,0.7072756290435791,0.958340048789978,0.9654626250267029,0.6883835196495056,0.6378631591796875,0.9366171360015869
11,3,identity,0.0,0.0,0.0,0.0,0.0,1.568388324812986e-05,11181642,18.638895988464355,18.638895988464355,1.0,13.983133425305514,1.0083260886329921,0.6801628764597418,0.6257824421598958,0.9316063354312124,0.8171024322509766,0.7482082843780518,0.7167673110961914,0.9580921530723572,0.962729811668396,0.6897664666175842,0.6399347186088562,0.9367935657501221
11,4,identity,0.0,0.0,0.0,0.0,0.0,1.553347465232946e-05,11181642,18.63089942932129,18.63089942932129,1.0,13.977134306392568,1.0083260886329921,0.6801628764597418,0.6257824421598958,0.9316063354312124,0.8349534869194031,0.7365367412567139,0.7009122371673584,0.9567045569419861,0.9924672842025757,0.6794329881668091,0.6296021342277527,0.9334599375724792
12,0,identity,0.0,0.0,0.0,0.0,0.0,1.4892882063577417e-05,11181642,18.59608554840088,18.59608554840088,1.0,13.951016496503822,0.9590221977189926,0.6949523663183774,0.6444614877900812,0.9377758765837483,0.7846506834030151,0.7613977789878845,0.7327143549919128,0.9608832597732544,0.9314653873443604,0.700330376625061,0.6540025472640991,0.9407081007957458
12,1,identity,0.0,0.0,0.0,0.0,0.0,1.4894759260641877e-05,11181642,18.596588134765625,18.596588134765625,1.0,13.951393543095012,0.9590221977189926,0.6949523663183774,0.6444614877900812,0.9377758765837483,0.7605950832366943,0.7666530013084412,0.7395874857902527,0.9639802575111389,0.9354286193847656,0.6986785531044006,0.6538538336753845,0.9406453371047974
12,2,identity,0.0,0.0,0.0,0.0,0.0,1.491893817728851e-05,11181642,18.59745693206787,18.59745693206787,1.0,13.952045325722287,0.9590221977189926,0.6949523663183774,0.6444614877900812,0.9377758765837483,0.7651739716529846,0.7598116397857666,0.728432297706604,0.9635308384895325,0.9306743741035461,0.6982560157775879,0.6515330076217651,0.9409582614898682
12,3,identity,0.0,0.0,0.0,0.0,0.0,1.5062561033118982e-05,11181642,18.606423377990723,18.606423377990723,1.0,13.958772065855802,0.9590221977189926,0.6949523663183774,0.6444614877900812,0.9377758765837483,0.7688806653022766,0.7641116380691528,0.7364308834075928,0.9627179503440857,0.926770806312561,0.6981407403945923,0.6495171785354614,0.9411720037460327
