round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc,bins_per_plane,prior_rate,marginal_rate
9,4,3-split,105.42762872758856,262.81271850385804,3.514949664662481e-09,2023.2345581054688,26.818102598190308,2.255865365441423e-05,11181642,2.2123260498046875,18.91243839263916,8.548666863236015,1.6597147359931574,2.2061588307722406,0.21373693915181316,0.17129697450578496,0.6540184463073493,1.7405539751052856,0.42433962225914,0.3309221565723419,0.8033053874969482,1.837490439414978,0.3826444447040558,0.2712976932525635,0.754335343837738,3,0.21309082210063934,1.547985315322876
10,0,3-split,105.47038983637036,263.58111777660605,3.435431272791334e-09,1995.3407287597656,26.541689038276672,2.2237007215153426e-05,11181642,2.2107791900634766,18.899559020996094,8.54882256262483,1.6585542624240697,2.1631743383686017,0.23613245236631838,0.18747632344563783,0.6707371892758439,1.7052940130233765,0.4380289316177368,0.3527698218822479,0.8169270753860474,1.790420651435852,0.40158265829086304,0.2900255024433136,0.7690454721450806,3,0.21920812129974365,1.5472911596298218
10,1,3-split,105.55182588244223,264.97393341597456,3.563728423472412e-09,2024.886703491211,26.79470181465149,2.2529375200974755e-05,11181642,2.210573196411133,18.90921401977539,8.553986834941504,1.658399723403772,2.1631743383686017,0.23613245236631838,0.18747632344563783,0.6707371892758439,1.7071142196655273,0.43686869740486145,0.3463071584701538,0.8143782019615173,1.7966673374176025,0.39839428663253784,0.28286346793174744,0.7667863965034485,3,0.21360448002815247,1.5474059581756592
10,2,3-split,105.5562103828366,263.27959679980114,3.4708209639688903e-09,2011.6621017456055,26.671287417411804,2.2376847482519224e-05,11181642,2.2097349166870117,18.903371810913086,8.554588004272627,1.6577708354461715,2.1631743383686017,0.23613245236631838,0.18747632344563783,0.6707371892758439,1.7011702060699463,0.4342365562915802,0.3336094915866852,0.8145246505737305,1.7905412912368774,0.39935463666915894,0.28101035952568054,0.7697453498840332,3,0.2140369713306427,1.5472749471664429
10,3,3-split,105.60250160147444,267.309931673953,3.575711504666401e-09,2004.5133590698242,26.645982265472412,2.2370008082361892e-05,11181642,2.210099220275879,18.902321815490723,8.552702811745807,1.6580441405654018,2.1631743383686017,0.23613245236631838,0.18747632344563783,0.6707371892758439,1.6906070709228516,0.4453620910644531,0.3406132757663727,0.8153079748153687,1.7911580801010132,0.3969729542732239,0.27917999029159546,0.7683980464935303,3,0.21381457149982452,1.5474309921264648
10,4,3-split,105.48769903889851,263.01388460941024,3.505143952864387e-09,2018.8222885131836,26.7813503742218,2.250993566121906e-05,11181642,2.210672378540039,18.909330368041992,8.553655689374468,1.6584741310802116,2.1631743383686017,0.23613245236631838,0.18747632344563783,0.6707371892758439,1.7007999420166016,0.4428366720676422,0.35046181082725525,0.8130159378051758,1.7997468709945679,0.3962046802043915,0.2856749892234802,0.7674176692962646,3,0.20566745102405548,1.5473747253417969
11,0,3-split,105.67545110590619,266.35318516366266,3.508217494285759e-09,1996.5034484863281,26.545149087905884,2.2237469238461927e-05,11181642,2.2104921340942383,18.897337913513184,8.548927916116053,1.6583389094374512,2.120529341675712,0.2590657652120467,0.20402280922635269,0.686694982860767,1.6718509197235107,0.4512694478034973,0.36803558468818665,0.824804425239563,1.7465699911117554,0.4170636236667633,0.30776771903038025,0.7829221487045288,3,0.22422917187213898,1.546338677406311
11,1,3-split,105.68198565041511,264.1148334389006,3.5239822171462265e-09,2024.159049987793,26.77190899848938,2.2476260710391216e-05,11181642,2.2097063064575195,18.90557861328125,8.555697450847955,1.6577493716933525,2.120529341675712,0.2590657652120467,0.20402280922635269,0.686694982860767,1.6598454713821411,0.45358994603157043,0.3598528802394867,0.828171968460083,1.7502915859222412,0.4124923050403595,0.29536643624305725,0.78261399269104,3,0.20590220391750336,1.5459586381912231
11,2,3-split,105.66662163493771,265.46631815997597,3.533327852522916e-09,2011.2770080566406,26.688987016677856,2.2391466700355522e-05,11181642,2.2094669342041016,18.899996757507324,8.55409803374836,1.657569791628099,2.120529341675712,0.2590657652120467,0.20402280922635269,0.686694982860767,1.6736023426055908,0.4491843581199646,0.3539305627346039,0.8187036514282227,1.7651348114013672,0.4058082401752472,0.29625529050827026,0.7781998515129089,3,0.20903614163398743,1.5465856790542603
11,3,3-split,105.68562029284972,269.62550110037154,3.5748140003732942e-09,1994.2255020141602,26.48541033267975,2.2175108824740164e-05,11181642,2.209731101989746,18.89456272125244,8.550616273735246,1.6577679736124622,2.120529341675712,0.2590657652120467,0.20402280922635269,0.686694982860767,1.654335379600525,0.45648762583732605,0.3556278944015503,0.8233692049980164,1.7415971755981445,0.41817763447761536,0.30204540491104126,0.7833372950553894,3,0.2115785926580429,1.5463371276855469
